TimeStamp: 1722319142(2024-07-30 13:59:02), LockStatus: 0x786435, Longitude: 114.045098, Latitude: 22.599370, Speed: 11.03m/s, Heading: 0
TimeStamp: 1722319143(2024-07-30 13:59:03), LockStatus: 0x786435, Longitude: 114.045000, Latitude: 22.599412, Speed: 11.08m/s, Heading: 0
TimeStamp: 1722319144(2024-07-30 13:59:04), LockStatus: 0x786435, Longitude: 114.044905, Latitude: 22.599460, Speed: 11.14m/s, Heading: 0
TimeStamp: 1722319145(2024-07-30 13:59:05), LockStatus: 0x786435, Longitude: 114.044813, Latitude: 22.599513, Speed: 11.00m/s, Heading: 0
TimeStamp: 1722319146(2024-07-30 13:59:06), LockStatus: 0x786435, Longitude: 114.044728, Latitude: 22.599572, Speed: 10.78m/s, Heading: 0
TimeStamp: 1722319147(2024-07-30 13:59:07), LockStatus: 0x786435, Longitude: 114.044648, Latitude: 22.599635, Speed: 10.81m/s, Heading: 0
TimeStamp: 1722319148(2024-07-30 13:59:08), LockStatus: 0x786435, Longitude: 114.044570, Latitude: 22.599703, Speed: 11.03m/s, Heading: 0
TimeStamp: 1722319149(2024-07-30 13:59:09), LockStatus: 0x786435, Longitude: 114.044493, Latitude: 22.599773, Speed: 11.36m/s, Heading: 0
TimeStamp: 1722319150(2024-07-30 13:59:10), LockStatus: 0x786435, Longitude: 114.044413, Latitude: 22.599847, Speed: 11.72m/s, Heading: 0
TimeStamp: 1722319151(2024-07-30 13:59:11), LockStatus: 0x786435, Longitude: 114.044333, Latitude: 22.599925, Speed: 12.08m/s, Heading: 0
TimeStamp: 1722319152(2024-07-30 13:59:12), LockStatus: 0x786435, Longitude: 114.044253, Latitude: 22.600008, Speed: 12.53m/s, Heading: 0
TimeStamp: 1722319153(2024-07-30 13:59:13), LockStatus: 0x786435, Longitude: 114.044253, Latitude: 22.600008, Speed: 12.53m/s, Heading: 0
TimeStamp: 1722319154(2024-07-30 13:59:14), LockStatus: 0x786435, Longitude: 114.044175, Latitude: 22.600100, Speed: 13.19m/s, Heading: 0
TimeStamp: 1722319155(2024-07-30 13:59:15), LockStatus: 0x786435, Longitude: 114.044100, Latitude: 22.600200, Speed: 13.83m/s, Heading: 0
TimeStamp: 1722319156(2024-07-30 13:59:16), LockStatus: 0x786435, Longitude: 114.044027, Latitude: 22.600307, Speed: 14.36m/s, Heading: 0
TimeStamp: 1722319157(2024-07-30 13:59:17), LockStatus: 0x786435, Longitude: 114.043958, Latitude: 22.600423, Speed: 14.92m/s, Heading: 0
TimeStamp: 1722319158(2024-07-30 13:59:18), LockStatus: 0x786435, Longitude: 114.043897, Latitude: 22.600548, Speed: 15.39m/s, Heading: 0
TimeStamp: 1722319159(2024-07-30 13:59:19), LockStatus: 0x786435, Longitude: 114.043800, Latitude: 22.600807, Speed: 15.06m/s, Heading: 0
TimeStamp: 1722319160(2024-07-30 13:59:20), LockStatus: 0x786435, Longitude: 114.043762, Latitude: 22.600935, Speed: 14.69m/s, Heading: 0
TimeStamp: 1722319161(2024-07-30 13:59:21), LockStatus: 0x786435, Longitude: 114.043728, Latitude: 22.601063, Speed: 14.47m/s, Heading: 0
TimeStamp: 1722319162(2024-07-30 13:59:22), LockStatus: 0x786435, Longitude: 114.043695, Latitude: 22.601192, Speed: 14.64m/s, Heading: 0
TimeStamp: 1722319163(2024-07-30 13:59:23), LockStatus: 0x786435, Longitude: 114.043662, Latitude: 22.601322, Speed: 15.08m/s, Heading: 0
TimeStamp: 1722319164(2024-07-30 13:59:24), LockStatus: 0x786435, Longitude: 114.043633, Latitude: 22.601458, Speed: 15.50m/s, Heading: 0
TimeStamp: 1722319165(2024-07-30 13:59:25), LockStatus: 0x786435, Longitude: 114.043613, Latitude: 22.601598, Speed: 15.86m/s, Heading: 0
TimeStamp: 1722319166(2024-07-30 13:59:26), LockStatus: 0x786435, Longitude: 114.043602, Latitude: 22.601742, Speed: 16.17m/s, Heading: 0
TimeStamp: 1722319167(2024-07-30 13:59:27), LockStatus: 0x786435, Longitude: 114.043600, Latitude: 22.601887, Speed: 16.06m/s, Heading: 0
TimeStamp: 1722319168(2024-07-30 13:59:28), LockStatus: 0x786435, Longitude: 114.043605, Latitude: 22.602032, Speed: 15.92m/s, Heading: 0
TimeStamp: 1722319169(2024-07-30 13:59:29), LockStatus: 0x786435, Longitude: 114.043615, Latitude: 22.602173, Speed: 15.75m/s, Heading: 0
TimeStamp: 1722319170(2024-07-30 13:59:30), LockStatus: 0x786435, Longitude: 114.043632, Latitude: 22.602315, Speed: 15.67m/s, Heading: 0
TimeStamp: 1722319171(2024-07-30 13:59:31), LockStatus: 0x786435, Longitude: 114.043632, Latitude: 22.602315, Speed: 15.67m/s, Heading: 0
TimeStamp: 1722319172(2024-07-30 13:59:32), LockStatus: 0x786435, Longitude: 114.043652, Latitude: 22.602457, Speed: 15.86m/s, Heading: 0
TimeStamp: 1722319173(2024-07-30 13:59:33), LockStatus: 0x786435, Longitude: 114.043673, Latitude: 22.602600, Speed: 16.06m/s, Heading: 0
TimeStamp: 1722319174(2024-07-30 13:59:34), LockStatus: 0x786435, Longitude: 114.043720, Latitude: 22.602895, Speed: 16.97m/s, Heading: 0
TimeStamp: 1722319175(2024-07-30 13:59:35), LockStatus: 0x786435, Longitude: 114.043745, Latitude: 22.603050, Speed: 17.50m/s, Heading: 0
TimeStamp: 1722319176(2024-07-30 13:59:36), LockStatus: 0x786435, Longitude: 114.043770, Latitude: 22.603207, Speed: 17.75m/s, Heading: 0
TimeStamp: 1722319177(2024-07-30 13:59:37), LockStatus: 0x786435, Longitude: 114.043770, Latitude: 22.603207, Speed: 17.75m/s, Heading: 0
TimeStamp: 1722319178(2024-07-30 13:59:38), LockStatus: 0x786435, Longitude: 114.043795, Latitude: 22.603365, Speed: 17.89m/s, Heading: 0
TimeStamp: 1722319179(2024-07-30 13:59:39), LockStatus: 0x786435, Longitude: 114.043857, Latitude: 22.603693, Speed: 19.03m/s, Heading: 0
TimeStamp: 1722319180(2024-07-30 13:59:40), LockStatus: 0x786435, Longitude: 114.043887, Latitude: 22.603868, Speed: 20.14m/s, Heading: 0
TimeStamp: 1722319181(2024-07-30 13:59:41), LockStatus: 0x786435, Longitude: 114.043920, Latitude: 22.604050, Speed: 20.50m/s, Heading: 0
TimeStamp: 1722319182(2024-07-30 13:59:42), LockStatus: 0x786435, Longitude: 114.043920, Latitude: 22.604050, Speed: 20.50m/s, Heading: 0
TimeStamp: 1722319183(2024-07-30 13:59:43), LockStatus: 0x786435, Longitude: 114.043955, Latitude: 22.604235, Speed: 20.69m/s, Heading: 0
TimeStamp: 1722319184(2024-07-30 13:59:44), LockStatus: 0x786435, Longitude: 114.043990, Latitude: 22.604420, Speed: 20.75m/s, Heading: 0
TimeStamp: 1722319185(2024-07-30 13:59:45), LockStatus: 0x786435, Longitude: 114.044028, Latitude: 22.604607, Speed: 21.06m/s, Heading: 0
TimeStamp: 1722319186(2024-07-30 13:59:46), LockStatus: 0x786435, Longitude: 114.044097, Latitude: 22.604987, Speed: 21.25m/s, Heading: 0
TimeStamp: 1722319187(2024-07-30 13:59:47), LockStatus: 0x786435, Longitude: 114.044128, Latitude: 22.605178, Speed: 21.61m/s, Heading: 0
TimeStamp: 1722319188(2024-07-30 13:59:48), LockStatus: 0x786435, Longitude: 114.044158, Latitude: 22.605375, Speed: 21.92m/s, Heading: 0
TimeStamp: 1722319189(2024-07-30 13:59:49), LockStatus: 0x786435, Longitude: 114.044158, Latitude: 22.605375, Speed: 21.92m/s, Heading: 0
TimeStamp: 1722319190(2024-07-30 13:59:50), LockStatus: 0x786435, Longitude: 114.044185, Latitude: 22.605573, Speed: 22.14m/s, Heading: 0
